customerID|productID|productValidFrom|productValidThru|installationDate|customerName|salesmanID|officePhone|officeFax|corporateEmail1|corporateEmail2|npwp
NS0011020000087|NDC1|2017-11-01|2018-10-31|2011-06-18|PT. Bintang Mutiara Cemerlang-Medan|001|0617-347538||johnny_anggara@yahoo.co.id|pt_bmc138@yahoo.co.id|02.501.844.1-113.000
NS0011020000424|KB|2019-01-01|2019-12-31|2015-01-01|CV. Bintang Terang - Padang Sidempuan|001|063424311||johnny_anggara@yahoo.co.id||01.822.580.5-118.000
NS0011020000424|NDNEW|2019-01-01|2019-12-31|2015-01-01|CV. Bintang Terang - Padang Sidempuan|001|063424311||johnny_anggara@yahoo.co.id||01.822.580.5-118.000
NS0011020000425|KB|2019-01-01|2019-12-31|2015-01-01|CV. Bintang Terang - Sibolga|001|||johnny_anggara@yahoo.co.id||01.822.580.5-118.000
NS0011020000425|NDNEW|2019-01-01|2019-12-31|2015-01-01|CV. Bintang Terang - Sibolga|001|||johnny_anggara@yahoo.co.id||01.822.580.5-118.000
NS0011020000491|NDNEW|2018-02-01|2018-12-31|2016-03-01|PT. Sari Murni Pratama - Medan|001|061-8452363|0816-3166-690|velourencia@yahoo.co.id|smp_medan@yahoo.co.id|02.015.223.7-123.000
NS0011020000623|NDNEW|2018-01-01|2018-12-31|2014-01-01|PT. Sukses Makmur Pratama|001|061-80016073||pembukuan_smpd@yahoo.co.id||02.528.657.6-125.000
NS0011020000763|GL|2017-05-01|2018-04-30|2014-05-01|CV. SEMPURNA TETAP MAKMUR - KISARAN|001|0623-347250|0813-7606-2858|stm.kisaran@gmail.com|hanum_like@yahoo.com|02.310.368.2-115.000
NS0011020000763|KB|2017-05-01|2018-04-30|2014-05-01|CV. SEMPURNA TETAP MAKMUR - KISARAN|001|0623-347250|0813-7606-2858|stm.kisaran@gmail.com|hanum_like@yahoo.com|02.310.368.2-115.000
NS0011020000763|NDC2|2017-05-01|2018-04-30|2014-05-01|CV. SEMPURNA TETAP MAKMUR - KISARAN|001|0623-347250|0813-7606-2858|stm.kisaran@gmail.com|hanum_like@yahoo.com|02.310.368.2-115.000
NS0011020000763|NDDIV|2017-05-01|2018-04-30|2014-05-01|CV. SEMPURNA TETAP MAKMUR - KISARAN|001|0623-347250|0813-7606-2858|stm.kisaran@gmail.com|hanum_like@yahoo.com|02.310.368.2-115.000
NS0011030000002|KB|2017-07-01|2018-06-30|2014-06-18|Firma Karya Niaga--Pekanbaru|001|0761-32977|0761-25152|karyaniaga@gmail.com|karyaniaga@yahoo.com|01.116.676.6-218.000
NS0011030000002|NDC1|2017-07-01|2018-06-30|2014-06-18|Firma Karya Niaga--Pekanbaru|001|0761-32977|0761-25152|karyaniaga@gmail.com|karyaniaga@yahoo.com|01.116.676.6-218.000
NS0011030000034|KB|2015-07-01|2015-06-30|2014-06-26|PT. Nagamas Mandiri||||fransijaya@gmail.com||
NS0011030000052|NDNEW|2013-09-01|2014-08-31|2014-06-26|PT. Bentoro Adisandi||||||
NS0011030000080|GL|2016-11-01|2017-10-31|2006-11-01|PT. Sukses Makmur Perdana|001|0761-32977|0813 7246 9898 dedy|dedy.kn_pku@yahoo.co.id|erni_nih@yahoo.co.id|01.746.616.0-218.000
NS0011030000080|KB|2016-11-01|2017-10-31|2006-11-01|PT. Sukses Makmur Perdana|001|0761-32977|0813 7246 9898 dedy|dedy.kn_pku@yahoo.co.id|erni_nih@yahoo.co.id|01.746.616.0-218.000
NS0011030000080|NDNEW|2016-11-01|2017-10-31|2006-11-01|PT. Sukses Makmur Perdana|001|0761-32977|0813 7246 9898 dedy|dedy.kn_pku@yahoo.co.id|erni_nih@yahoo.co.id|01.746.616.0-218.000
NS0011030000091|NDC1|2017-11-01|2018-10-31|2014-06-18|PT. Dwi Prima Motor - BATAM|001|07714571229||ptdpm_tpi@yahoo.com||03.062.168.4-214.000
NS0011030000142|NDNEW|2013-07-01|2014-06-30|2013-07-01|Gunung Kawi||||||
NS0011030000143|NDNEW|2017-12-01|2018-11-30|2013-12-01|PT. Tiga Saripati Putrajaya|001|0761-571649|0761-6704017|tsp.pku@gmail.com||01.951.594.9-218.000
NS0011030000166|NDNEW|2018-01-01|2018-12-31|2014-01-01|CV. Mitra Niaga Cemerlang - Riau (Henson Group)|608|0761-27682|0761-27688|megahbintanglestari@yahoo.co.id|mnc.pekanbaru_tax@yahoo.co.id|03.281.877.5-211.000
NS0011030000422|NDNEW|2018-01-01|2018-12-31|2014-01-01|CV. Megah Bintang Lestari - Duri (Henson Group)|608|0761-27682|0761-27688|megahbintanglestari_hsn@yahoo.co.id|mbl.pekanbaru_tax@yahoo.co.id|02.643.411.8-211.000
NS0011030000458|KB|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Tanjung Pinang|001|||finance_one@printisgroup.com||
NS0011030000458|NDDIV|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Tanjung Pinang|001|||finance_one@printisgroup.com||
NS0011030000458|NDNEW|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Tanjung Pinang|001|||finance_one@printisgroup.com||
NS0011030000459|KB|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Batam|001|||finance_one@printisgroup.com||
NS0011030000459|NDDIV|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Batam|001|||finance_one@printisgroup.com||
NS0011030000459|NDNEW|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Batam|001|||finance_one@printisgroup.com||
NS0011030000460|KB|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Dumai|001|||finance_one@printisgroup.com||
NS0011030000460|NDDIV|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Dumai|001|||finance_one@printisgroup.com||
NS0011030000460|NDNEW|2014-07-01|2014-09-30|2014-01-01|PT. Printis Pribadi Usaha Prima - Dumai|001|||finance_one@printisgroup.com||
NS0011030000622|NDCOM|2018-01-01|2018-12-31|2014-01-01|CV. Megah Bintang Lestari - Riau (Henson Group)|608|0761-27682|0761-27688|megahbintanglestari@yahoo.co.id|mbl.pekanbaru_tax@yahoo.co.id|02.643.411.8-211.000
NS0011030000654|NDCOM|2017-01-01|2018-12-31||CV. Mitra Niaga Cemerlang -Pekanbaru (HensonGroup|608|0761-27682|0761-27668|megahbintanglestari_hsn@yahoo.co.id|mnc.pekanbaru_tax@yahoo.co.id|03.281.877.5-211.000
NS0011040000359|GL|2017-11-01|2018-10-31|2013-11-01|CV. SUMBER BARU UTAMA|003|0531-24565|0531-21939|sumberbaru_spt@ymail.com|mentaya.sbu@gmail.com|31.788.255.3-712.000
NS0011040000359|KB|2017-11-01|2018-10-31|2013-11-01|CV. SUMBER BARU UTAMA|003|0531-24565|0531-21939|sumberbaru_spt@ymail.com|mentaya.sbu@gmail.com|31.788.255.3-712.000
NS0011040000847|NDNEW|2015-07-01|2016-06-30||PT. TIGASARI PRIMARAYA|001|0751 38 367|0751 36 025|elda.sajja@yahoo.com||01.623.215.9-201.000
NS0011050000013|NDC1|2016-07-01|2017-06-30|2011-07-01|PT. Pancaran Intan Pratama Bungo|001|0747-7331273||pip.bungo@yahoo.com||02.694.009.8.332.000
NS0011050000120|NDNEW|2015-06-01|2016-05-31|2014-01-01|PT. Tanam Tumbuh Makmur - Jambi|001|||||
NS0011050000149|NDNEW|2013-09-01|2014-08-31|2013-09-01|PD. Setia - Muara Bungo|001|||pds_jambi@yahoo.co.id||
NS0011050000150|NDNEW|2017-09-01|2018-08-31|2013-09-01|PD. Setia|001|0741-23249|0741-25707|pds_jambi@yahoo.co.id||04.084.228.8-331.000
NS0011050000419|NDNEW|2017-01-01|2017-12-31|2014-01-01|PT. Segarprima Laksana|001|0741-40918|0741-40918|segarprima2@gmail.com|kimfenny@roketmail.com|01.485.030.9-331.000
NS0011050000420|NDNEW|2016-01-01|2016-12-31|2014-01-01|PT. Trimulia Gayatri (CV. Dian Jaya)|001|0741-572899|0741-572899|trimulia.gayatri@yahoo.co.id|trimulia.gayatri@yahoo.co.id|02.537.634.4-331.000
NS0011060000068|NDC1|2016-10-01|2017-09-30|2014-06-18|UD. Bunga Mas|001|0736-348112|0736-348112|oktavianus_apiau@yahoo.co.id||07.358.251.2-303.000
NS0011060000275|NDNEW|2015-06-01|2016-05-31|2014-06-01|PT. GATRA MORA - Bengkulu|001|||gatrajkt@yahoo.com|gatramorabengkulu@yahoo.co.id|
NS0011060000632|GL|2018-07-01|2018-09-30|2014-04-01|CV. Telaga Mas (G00632) - Bengkulu|001|0736-52590||telagamas.bengkulu@gmail.com|bayutanjung69@gmail.com|01.886.035.3-311.000
NS0011060000632|NDDIV|2018-07-01|2018-09-30|2014-04-01|CV. Telaga Mas (G00632) - Bengkulu|001|0736-52590||telagamas.bengkulu@gmail.com|bayutanjung69@gmail.com|01.886.035.3-311.000
NS0011060000632|NDNEW|2018-02-01|2018-12-31|2014-04-01|CV. Telaga Mas (G00632) - Bengkulu|001|0736-52590||telagamas.bengkulu@gmail.com|bayutanjung69@gmail.com|01.886.035.3-311.000
NS0011060000728|NDNEW|2018-01-01|2018-12-31|2015-01-01|CV. Telaga Mas (G00632) - Lubuk Linggau|001|0736-52590(Johan)|073652593|telagamas.bengkulu@gmail.com|bayutanjung69@gmail.com|01.886.035.3-311.000
NS0011060000781|NDNEW|2016-06-01|2017-05-31|2014-06-01|Toko BOI|001|0736 7324677||precilia.hanjaya@gmail.com||76.357.936.4-311.000
NS0011060000953|NDC2|2017-01-18|2018-01-17|2016-01-18|PT. Kurnia Sumber Rejeki (G00632) - Bengkulu 3|001|0736-7323218||pt.kurniasumberrezeki@gmail.com||74.794.423.9-311.000
NS0011060000980|ND6260|2019-04-01|2020-03-31|2017-06-02|PD. HAN JAYA ND6-Simpang Manna|606|08117313111||precilia.hanjaya@gmail.com|Sella.hanjaya@gmail.com|31.817.469.5-311.000
NS0011060000980|ND6MIGRASI|2020-04-01|2021-03-31||PD. HAN JAYA ND6-Simpang Manna|606|08117313111||precilia.hanjaya@gmail.com|Sella.hanjaya@gmail.com|31.817.469.5-311.000
NS0011060001259|ND6220|2020-04-01|2021-04-30|2017-05-08|Toko BOI ND6-Bengkulu|605|0736 7324677|081278465348|precilia.hanjaya@gmail.com|tokoboibengkulu@gmail.com|76.357.936.4-311.000
NS0011070000001|NDC1|2017-07-01|2018-06-30|2014-06-18|PT. Bintang Buana Tirta|001|0731-325701||binter.lahat@yahoo.com|agen.bbt@gmail.com|02.285.083.8-309.000
NS0011070000039|NDC1|2019-09-01|2019-12-31|2014-06-26|CV. Anugrah Abadi|002|0711-716755|0711-719678|anugrahabadi_plb@yahoo.com||03.023.922.2-301.000
NS0011070000048|NDNEW|2015-09-01|2016-08-31|2014-06-26|PT. Cahaya Lestari Teguh Makmur - Baturaja|001|0735-324661(Isma)||pt.cltm@gmail.com|pt_cltm@yahoo.co.id|01.704.668.1-324.000
NS0011070000051|NDC1|2018-09-01|2018-12-31|2014-06-26|PT. Citra Pratama Mandiri Kencana|001|0733-325973|0733-325972|citrapratama_mk@yahoo.com|ptcpmk@gmail.com|01.625.766.9-303.000
NS0011070000051|NDDIV|2018-09-01|2018-12-31|2011-09-01|PT. Citra Pratama Mandiri Kencana|001|0733-325973|0733-325972|citrapratama_mk@yahoo.com|ptcpmk@gmail.com|01.625.766.9-303.000
NS0011070000077|NDC1|2013-10-01|2014-09-30|2014-06-18|PD. Garuda||||||
NS0011070000095|NDC1|2017-11-01|2018-10-31|2014-06-18|PD. Wira Sejahtera(NON PKP)|001|0711352669||wira.sejahtera@gmail.com||00.000.000.0-000.000
NS0011070000119|NDDIV|2017-04-01|2017-06-30||PT. Inti Bharu Mas - Palembang|001|0712-7332153||ibm_plg@yahoo.com||01.550.467.3-322.000
NS0011070000119|NDNEW|2017-04-01|2017-06-30|2014-06-01|PT. Inti Bharu Mas - Palembang|001|0712-7332153||ibm_plg@yahoo.com||01.550.467.3-322.000
NS0011070000167|KB|2019-09-01|2019-12-31||CV. Panen Mas |001|0735-321084||cv.bukitmas@outlook.com|cv.panenmas@outlook.com|71.362.680.2-302.000
NS0011070000167|NDNEW|2019-09-01|2019-12-31|2013-08-01|CV. Panen Mas |001|0735-321084||cv.bukitmas@outlook.com|cv.panenmas@outlook.com|71.362.680.2-302.000
NS0011070000180|NDNEW|2017-07-01|2018-06-30|2013-09-01|UD. Fajar Laut - Baturaja|001|0735-321614||yfransisca@yahoo.co.id||08.496.486.5-324.000
NS0011070000233|NDC2|2015-05-01|2016-04-30|2014-05-01|CV. MENTARI MULIA MAKMUR(Toko Sinar Matahari)|002|0713-323359||mentari.prabumulih@yahoo.com||31.284.441.8-313.000
NS0011070000273|GL|2016-04-01|2017-03-31|2014-04-01|PT. GATRA MORA - Palembang|001|0711 364 176|0711 364 174|gatrajkt@yahoo.com|gatramora@yahoo.com|01.547.435.6-308.000
NS0011070000273|NDNEW|2016-04-01|2017-03-31|2014-04-01|PT. GATRA MORA - Palembang|001|0711 364 176|0711 364 174|gatrajkt@yahoo.com|gatramora@yahoo.com|01.547.435.6-308.000
NS0011070000274|NDNEW|2016-11-01|2017-10-31|2014-06-01|PT. GATRA MORA - Lubuk Linggau|001|||gatrajkt@yahoo.com|gmlinggau@gmail.com|01.547.435.6-308.000
NS0011070000276|NDNEW|2015-06-01|2016-05-31|2014-06-01|PT. GATRA MORA - Lahat|001|||gatrajkt@yahoo.com|gatralahat@gmail.com|
NS0011070000277|NDNEW|2015-06-01|2016-05-31|2014-06-01|PT. GATRA MORA - Baturaja|001|||gatrajkt@yahoo.com|gatraraja@gmail.com|
NS0011070000444|NDNEW|2015-03-01|2016-02-28|2015-03-01|Bintang Terang (ULI dan MAYORA)|001|||agen.bbt@gmail.com|binter.lahat@yahoo.com|00.000.000.0-000.000
NS0011070000461|GL|2016-01-01|2016-12-31|2014-01-01|PT. Winada Anugerah|001|( 0711 ) 4325111||winadaanugerah@yahoo.com||01.462.090.0-308.000
NS0011070000461|KB|2016-01-01|2016-12-31|2014-01-01|PT. Winada Anugerah|001|( 0711 ) 4325111||winadaanugerah@yahoo.com||01.462.090.0-308.000
NS0011070000461|NDNEW|2016-01-01|2016-12-31|2014-01-01|PT. Winada Anugerah|001|( 0711 ) 4325111||winadaanugerah@yahoo.com||01.462.090.0-308.000
NS0011070000556|GL|2016-03-01|2017-02-28|2014-03-01|CV. Sukses Inti Prima|001|||sip2211@yahoo.co.id|candrawonghua@yahoo.co.id|03.023.798.6-307.000
NS0011070000556|KB|2016-03-01|2017-02-28|2014-03-01|CV. Sukses Inti Prima|001|||sip2211@yahoo.co.id|candrawonghua@yahoo.co.id|03.023.798.6-307.000
NS0011070000556|NDNEW|2016-03-01|2017-02-28|2014-03-01|CV. Sukses Inti Prima|001|||sip2211@yahoo.co.id|candrawonghua@yahoo.co.id|03.023.798.6-307.000
NS0011070000735|NDNEW|2016-07-01|2017-06-30|2014-06-11|PT. SUKSES CITRA PANGAN 2 (Betung) - (Ganda Jaya)|001|08117871512||novigui04@gmail.com||01.948.219.9-308.000
NS0011070000735|SC|2016-07-01|2017-06-30|2014-06-11|PT. SUKSES CITRA PANGAN 2 (Betung) - (Ganda Jaya)|001|08117871512||novigui04@gmail.com||01.948.219.9-308.000
NS0011070000778|NDNEW|2018-06-01|2018-12-31|2014-06-01|PT. Citra Insan Anugerah|001|0711-715315|081367701899|citraia@yahoo.co.id|citraia@elnus.net.id|03.257.162.2-301.000
NS0011070000780|NDNEW|2018-06-01|2018-12-31|2014-06-01|CV. Surya Mas-Lahat|604|0731-325700|0811780684|yansensuryamas@gmail.com||01.625.360.1-309.000
NS0011070001095|KB|2019-06-01|2019-12-31||CV. Bukit Mas|001|0735-321084|085284350499|cv.bukitmas@outlook.com|adm.bukitmas@outlook.com|71.920.054.5-309.000
NS0011070001095|NDCOM|2019-06-01|2019-12-31||CV. Bukit Mas|001|0735-321084|085284350499|cv.bukitmas@outlook.com|adm.bukitmas@outlook.com|71.920.054.5-309.000
NS0011080000015|NDC1|2015-07-01|2016-06-30|2012-07-01|PT. Cahaya Anugerah Niaga Raya - Bandar Lampung|001|0725-48746||mikeksm.can@gmail.com||03.124.711.7-322.000
NS0011080000016|NDC1|2014-07-01|2015-06-30|2003-06-01|CV. Sido Waras|001|||sidowaras@yahoo.co.id||
NS0011080000055|NDC1|2017-10-01|2018-09-30|2014-06-18|PT. Cahaya Lestari Teguh Makmur - Lampung|001|0721-482143|0721-473295|pt.cltm@gmail.com|pt_cltm@yahoo.co.id|01.704.668.1-324.000
NS0011080000055|SC|2017-10-01|2018-09-30|2015-10-01|PT. Cahaya Lestari Teguh Makmur - Lampung|001|0721-482143|0721-473295|pt.cltm@gmail.com|pt_cltm@yahoo.co.id|01.704.668.1-324.000
NS0011080000065|GL|2017-10-01|2018-09-30|2007-10-01|PT. Surya Niaga Bersaudara-Bogor(Non Pkp)|003|||tirtahs@hotmail.com|thsurjana@gmail.com|00.000.000.0-000.000
NS0011080000065|KB|2017-10-01|2018-09-30|2007-10-01|PT. Surya Niaga Bersaudara-Bogor(Non Pkp)|003|||tirtahs@hotmail.com|thsurjana@gmail.com|00.000.000.0-000.000
NS0011080000065|NDC1|2017-10-01|2018-09-30|2007-10-01|PT. Surya Niaga Bersaudara-Bogor(Non Pkp)|003|||tirtahs@hotmail.com|thsurjana@gmail.com|00.000.000.0-000.000
NS0011080000078|GL|2015-11-01|2016-10-31|2005-11-01|PT. Enggal Perdana|001|0721-262603|0721-264926|enggalperdana@robbysatya.com||01.239.463.1-322.000
NS0011080000078|KB|2015-11-01|2016-10-31|2005-11-01|PT. Enggal Perdana|001|0721-262603|0721-264926|enggalperdana@robbysatya.com||01.239.463.1-322.000
NS0011080000078|NDC1|2015-11-01|2016-10-31|2014-06-30|PT. Enggal Perdana|001|0721-262603|0721-264926|enggalperdana@robbysatya.com||01.239.463.1-322.000
NS0011080000079|GL|2015-12-01|2016-11-30|2006-01-01|PT. Perdana Adhi Lestari - lampung|001|(0721) 263900|(0721) 256999|admin@perdanaadhilestari.com|robbysatya@perdanaadhilestari.com|01.794.980.1-323.000
NS0011080000079|NDNEW|2014-11-01|2015-10-31|2006-01-01|PT. Perdana Adhi Lestari - lampung|001|(0721) 263900|(0721) 256999|admin@perdanaadhilestari.com|robbysatya@perdanaadhilestari.com|01.794.980.1-323.000
NS0011080000154|NDNEW|2017-09-01|2018-08-31|2013-09-01|UD. Fajar Laut - Lampung|613|0721-31915/16|0721- 342233|fl.claim@yahoo.com||08.496.486.5-324.000
NS0011080000155|NDNEW|2013-09-01|2014-08-31|2013-09-01|UD. Fajar Laut - Tulang Bawang||||||
NS0011080000156|NDNEW|2015-09-01|2016-08-31|2013-09-01|UD. Fajar Laut||||||
NS0011080000161|NDC2|2013-07-01|2014-06-30|2013-07-01|PT. Perusahaan Perdagangan Ind (Persero)|001|||||
NS0011080000161|NDNEW|2013-07-01|2014-06-30|2013-07-01|PT. Perusahaan Perdagangan Ind (Persero)|001|||||
NS0011080000353|NDNEW|2017-09-01|2018-08-31|2014-09-01|PT. Sumber Buana Dwiabadi|001|0721-7699088|0721-7699080|sumberbuana.dwiabadi@gmail.com|andreas.riyapto@gmail.com|70.823.859.7-323.000
NS0011080000372|GL|2018-06-01|2018-12-31|2015-06-01|Toko Surya Makmur|001|0858-4106-1234||suprianto.skb93@yahoo.com||00.000.000.0-000.000
NS0011080000372|KB|2018-06-01|2018-12-31|2015-06-01|Toko Surya Makmur|001|0858-4106-1234||suprianto.skb93@yahoo.com||00.000.000.0-000.000
NS0011080000372|NDNEW|2018-06-01|2018-12-31|2014-06-01|Toko Surya Makmur|001|0858-4106-1234||suprianto.skb93@yahoo.com||00.000.000.0-000.000
NS0011080000390|GL|2016-04-01|2017-03-31|2014-04-01|CV. PENAMAS|001|0721-771919|0721-772338|anton.penamas@gmail.com|hartini.penamas@yahoo.com|02.895.593.8-323.000
NS0011080000390|KB|2016-04-01|2017-03-31|2014-04-01|CV. PENAMAS|001|0721-771919|0721-772338|anton.penamas@gmail.com|hartini.penamas@yahoo.com|02.895.593.8-323.000
NS0011080000390|NDC1|2016-03-01|2017-02-28|2015-03-01|CV. PENAMAS|001|0721-771919|0721-772338|anton.penamas@gmail.com|hartini.penamas@yahoo.com|02.895.593.8-323.000
NS0011080000390|NDNEW|2016-04-01|2017-03-31|2014-04-01|CV. PENAMAS|001|0721-771919|0721-772338|anton.penamas@gmail.com|hartini.penamas@yahoo.com|02.895.593.8-323.000
NS0011080000394|GL|2014-07-01|2015-06-30|2014-07-01|CV. ANUGERAH SEMATA||||a_semata@yahoo.co.id||
NS0011080000421|NDNEW|2018-01-01|2018-12-31|2014-01-01|Toko Tiga Saudara - Lampung|001|0721-472.984||evi_shalom10@yahoo.co.id|dermawan.johan@gmail.com|03.124.872.7-324.000
NS0011080000655|GL|2017-06-01|2018-05-31|2014-06-01|CV. 3 Pilar + (Bandar Jaya)|001|(0725) 25487||adm_3pilar@yahoo.com|erniwidyastuti44@yahoo.com|03.102.360.9-322.000 (PKP)
NS0011080000655|KB|2017-06-01|2018-05-31|2014-06-01|CV. 3 Pilar + (Bandar Jaya)|001|(0725) 25487||adm_3pilar@yahoo.com|erniwidyastuti44@yahoo.com|03.102.360.9-322.000 (PKP)
NS0011080000655|NDNEW|2017-06-01|2018-05-31|2014-06-01|CV. 3 Pilar + (Bandar Jaya)|001|(0725) 25487||adm_3pilar@yahoo.com|erniwidyastuti44@yahoo.com|03.102.360.9-322.000 (PKP)
NS0011080000657|GL|2017-06-01|2018-05-31|2014-06-01|CV. 3 PILAR + (Tanjung Karang)|603|(0712) 262317||adm_3pilar@yahoo.com|erniwidyastuti44@yahoo.com|03.102.360.9-322.000 (PKP)
NS0011080000657|KB|2017-06-01|2018-05-31|2014-06-01|CV. 3 PILAR + (Tanjung Karang)|603|(0712) 262317||adm_3pilar@yahoo.com|erniwidyastuti44@yahoo.com|03.102.360.9-322.000 (PKP)
NS0011080000657|NDNEW|2017-06-01|2018-05-31|2014-06-01|CV. 3 PILAR + (Tanjung Karang)|603|(0712) 262317||adm_3pilar@yahoo.com|erniwidyastuti44@yahoo.com|03.102.360.9-322.000 (PKP)
NS0011080000705|GL|2017-07-01|2017-09-30|2014-06-01|PT. Inti Bharu Mas - Lampung|001|0721-7699066|0721-7699022|ibm_plg@yahoo.com|it@intibharu.com|01.550.467.3-322.000
NS0011080000705|KB|2017-07-01|2017-09-30|2014-06-01|PT. Inti Bharu Mas - Lampung|001|0721-7699066|0721-7699022|ibm_plg@yahoo.com|it@intibharu.com|01.550.467.3-322.000
NS0011080000705|NDNEW|2017-07-01|2017-09-30|2014-06-01|PT. Inti Bharu Mas - Lampung|001|0721-7699066|0721-7699022|ibm_plg@yahoo.com|it@intibharu.com|01.550.467.3-322.000
NS0011080000706|NDDIV|2015-06-01|2016-05-31|2015-06-01|PT. Anugrah Oli Nusantara|001|0721-7699066|0721-7699022|ibm_plg@yahoo.com|it@intibharu.com|
NS0011080000707|NDDIV|2015-06-01|2016-05-31|2015-06-01|PT. Tanam Tumbuh Makmur - Lampung|001|||ibm_plg@yahoo.com||02.044-.602.7-322.000
NS0011080000710|NDNEW|2018-04-01|2018-12-31|2013-04-01|CV. Jaya Langgeng Anugerah|001|||dermawan.johan@gmail.com||03.124.872.7-324.000
NS0011080000730|UPDIVCOMP|2018-04-02|2018-12-31||PD. DEONI|001|0721-771919|0721-772338|anton.penamas@gmail.com|hartini.penamas@yahoo.com|80.597.185.0-323.000
NS0011080000764|NDC2|2014-05-01|2015-04-30|2014-05-01|PT. PERDANA ADHI LESTARI - METRO|001|(0721) 263900|(0721) 256999|admin@perdanaadhilestari.com|robbysatya@perdanaadhilestari.com|01.794.980.1-323.000
NS0011080000773|NDCOM|2015-06-01|2016-05-31||PT. Mandiri Multi Megah - Metro|001|0828 80091061.60.59||mmm.lampung@yahoo.com|mmm_lpg@yahoo.com|03.102.219.7-324.001
NS0011080000773|NDNEW|2017-06-01|2018-05-31|2014-06-01|PT. Mandiri Multi Megah - Metro|001|0828 80091061.60.59||mmm.lampung@yahoo.com|mmm_lpg@yahoo.com|03.102.219.7-324.001
NS0011080000774|NDCOM|2015-06-01|2016-05-31||PT. Mandiri Multi Megah - Kotabumi|001|082880091058(Lina)||mmm.lampung@yahoo.com|mmm_lpg@yahoo.com|03.102.219.7-324.001
NS0011080000774|NDNEW|2017-06-01|2018-05-31||PT. Mandiri Multi Megah - Kotabumi|001|082880091058(Lina)||mmm.lampung@yahoo.com|mmm_lpg@yahoo.com|03.102.219.7-324.001
NS0011080000775|NDCOM|2015-06-01|2016-05-31||PT. Mandiri Multi Megah - Lampung|001|0828 8009 1061||mmm.lampung@yahoo.com|mmm_lpg@yahoo.com|03.102.219.7-324.001
NS0011080000775|NDNEW|2017-06-01|2018-05-31|2014-06-01|PT. Mandiri Multi Megah - Lampung|001|0828 8009 1061||mmm.lampung@yahoo.com|mmm_lpg@yahoo.com|03.102.219.7-324.001
